coronavirus	coronaviru
covid-19	covid-19
vaccine	vaccin
vaccination	vaccin
pfizer	pfizer
moderna	moderna
zeneca	zeneca
antivaxxer	antivaxx
pandemic	pandem
innoculated	innocul
doses	dose
viral	viral
virus	viru
side-effects	side-effect
immunity	immun
antibodies	antibodi
herd	herd
sars-cov-19	sars-cov-19
fever	fever
cough	cough
congestion	congest
spread	spread
containment	contain
outbreak	outbreak
asymptomatic	asymptomat
cdc	cdc
infected	infect
infectious	infecti
quarantine	quarantin
self-isolation	self-isol
disease	diseas
inflammation	inflamm
hypoxemia	hypoxemia
infection	infect
cases	case
fatalities	fatal
deaths	death
hospitalizations	hospit
healthcare	healthcar
immunocompromised	immunocompromis
incubation	incub
intubation	intub
mask	mask
mortality	mortal
morbidity	morbid
global	global
economic	econom
mrna	mrna
air	air
scientist	scientist
epidemiologist	epidemiologist
scientific	scientif
research	research
pipeline	pipelin
ppe	ppe
doctors	doctor
nurses	nurs
ventilator	ventil
respirator	respir
travel	travel
tested	test
sick	sick
hhs	hh
cluster	cluster
transmission	transmiss
injection	inject
vector	vector
betacoronavirus	betacoronaviru
anti-vaccine	anti-vaccin
skeptic	skeptic
