,guid,sent_no,quote_no,quote_text,coref,quote_stems,quote_stems_coref,quote_stem_list,quote_stem_list_coref,url,title,date,domain,stance,topic,is_AP,reg_title,leaning
5420,url_no_6743,62,0,he is worried that a White House - backed effort to develop a coronavirus vaccine is sending the wrong message because of its name,he is worried that a White House - backed effort to develop a coronavirus vaccine is sending the wrong message because of a coronavirus vaccine name,"['he', 'is', 'worri', 'that', 'a', 'white', 'hous', '-', 'back', 'effort', 'to', 'develop', 'a', 'coronaviru', 'vaccin', 'is', 'send', 'the', 'wrong', 'messag', 'becaus', 'of', 'it', 'name']","['he', 'is', 'worri', 'that', 'a', 'white', 'hous', '-', 'back', 'effort', 'to', 'develop', 'a', 'coronaviru', 'vaccin', 'is', 'send', 'the', 'wrong', 'messag', 'becaus', 'of', 'a', 'coronaviru', 'vaccin', 'name']","['he', 'is', 'worri', 'that', 'a', 'white', 'hous', '-', 'back', 'effort', 'to', 'develop', 'a', 'coronaviru', 'vaccin', 'is', 'send', 'the', 'wrong', 'messag', 'becaus', 'of', 'it', 'name']","['he', 'is', 'worri', 'that', 'a', 'white', 'hous', '-', 'back', 'effort', 'to', 'develop', 'a', 'coronaviru', 'vaccin', 'is', 'send', 'the', 'wrong', 'messag', 'becaus', 'of', 'a', 'coronaviru', 'vaccin', 'name']",newsmax.com/us/fauci-operation-warp-speed-anti-vaxxer/2020/05/21/id/968285,fauci race for virus vaccine can send wrong message,2020-05-21 07:22:55.000000,newsmax,anti,cc,False,fauci race for virus vaccine can send wrong message,right
765,url_no_1375,48,4,"they need a vaccine , with a similar share saying that they do n’t know if a COVID-19 vaccine will work and that they do n't trust the government","38% need a vaccine , with a similar share saying that 38% do n’t know if a COVID-19 vaccine will work and that 38% do n't trust the government","['they', 'need', 'a', 'vaccin', ',', 'with', 'a', 'similar', 'share', 'say', 'that', 'they', 'do', 'n', '’', 't', 'know', 'if', 'a', 'covid-19', 'vaccin', 'will', 'work', 'and', 'that', 'they', 'do', ""n't"", 'trust', 'the', 'govern']","['38', '%', 'need', 'a', 'vaccin', ',', 'with', 'a', 'similar', 'share', 'say', 'that', '38', '%', 'do', 'n', '’', 't', 'know', 'if', 'a', 'covid-19', 'vaccin', 'will', 'work', 'and', 'that', '38', '%', 'do', ""n't"", 'trust', 'the', 'govern']","['they', 'need', 'a', 'vaccin', ',', 'with', 'a', 'similar', 'share', 'say', 'that', 'they', 'do', 'n', '’', 't', 'know', 'if', 'a', 'covid-19', 'vaccin', 'will', 'work', 'and', 'that', 'they', 'do\', ""n\'t"", \'trust', 'the', 'govern']","['38', '%', 'need', 'a', 'vaccin', ',', 'with', 'a', 'similar', 'share', 'say', 'that', '38', '%', 'do', 'n', '’', 't', 'know', 'if', 'a', 'covid-19', 'vaccin', 'will', 'work', 'and', 'that', '38', '%', 'do\', ""n\'t"", \'trust', 'the', 'govern']",newsmax.com/newsfront/Virus-Outbreak-AP-Poll/2021/02/10/id/1009420,apnorc poll a third of us adults skeptical of covid19 shots,2021-02-10 07:14:09.000000,newsmax,anti,cc,False,apnorc poll a third of us adults skeptical of covid19 shots,right
1246,url_no_1989,33,1,their first shot of the COVID vaccine at city - run sites        Vaccine hesitancy among US adults fell by one - third during early months of 2021 with number of   uncertain black Americans reducing by HALF        Quarter of white evangelical protestants say they wo n't get vaccinated - the biggest religious group to refuse shot followed by Mormons,PAYING people first shot of the COVID vaccine at city - run sites        Vaccine hesitancy among US adults fell by one - third during early months of 2021 with number of   uncertain black Americans reducing by HALF        Quarter of white evangelical protestants say white evangelical protestants wo n't get vaccinated - the biggest religious group to refuse shot followed by Mormons,"['their', 'first', 'shot', 'of', 'the', 'covid', 'vaccin', 'at', 'citi', '-', 'run', 'site', 'vaccin', 'hesit', 'among', 'us', 'adult', 'fell', 'by', 'one', '-', 'third', 'dure', 'earli', 'month', 'of', '2021', 'with', 'number', 'of', 'uncertain', 'black', 'american', 'reduc', 'by', 'half', 'quarter', 'of', 'white', 'evangel', 'protest', 'say', 'they', 'wo', ""n't"", 'get', 'vaccin', '-', 'the', 'biggest', 'religi', 'group', 'to', 'refus', 'shot', 'follow', 'by', 'mormon']","['pay', 'peopl', 'first', 'shot', 'of', 'the', 'covid', 'vaccin', 'at', 'citi', '-', 'run', 'site', 'vaccin', 'hesit', 'among', 'us', 'adult', 'fell', 'by', 'one', '-', 'third', 'dure', 'earli', 'month', 'of', '2021', 'with', 'number', 'of', 'uncertain', 'black', 'american', 'reduc', 'by', 'half', 'quarter', 'of', 'white', 'evangel', 'protest', 'say', 'white', 'evangel', 'protest', 'wo', ""n't"", 'get', 'vaccin', '-', 'the', 'biggest', 'religi', 'group', 'to', 'refus', 'shot', 'follow', 'by', 'mormon']","['their', 'first', 'shot', 'of', 'the', 'covid', 'vaccin', 'at', 'citi', '-', 'run', 'site', 'vaccin', 'hesit', 'among', 'us', 'adult', 'fell', 'by', 'one', '-', 'third', 'dure', 'earli', 'month', 'of', '2021', 'with', 'number', 'of', 'uncertain', 'black', 'american', 'reduc', 'by', 'half', 'quarter', 'of', 'white', 'evangel', 'protest', 'say', 'they', 'wo\', ""n\'t"", \'get', 'vaccin', '-', 'the', 'biggest', 'religi', 'group', 'to', 'refus', 'shot', 'follow', 'by', 'mormon']","['pay', 'peopl', 'first', 'shot', 'of', 'the', 'covid', 'vaccin', 'at', 'citi', '-', 'run', 'site', 'vaccin', 'hesit', 'among', 'us', 'adult', 'fell', 'by', 'one', '-', 'third', 'dure', 'earli', 'month', 'of', '2021', 'with', 'number', 'of', 'uncertain', 'black', 'american', 'reduc', 'by', 'half', 'quarter', 'of', 'white', 'evangel', 'protest', 'say', 'white', 'evangel', 'protest', 'wo\', ""n\'t"", \'get', 'vaccin', '-', 'the', 'biggest', 'religi', 'group', 'to', 'refus', 'shot', 'follow', 'by', 'mormon']",dailymail.co.uk/news/article-9398013/Belgian-MEP-accuses-AstraZeneca-dishonesty.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,belgian mep accuses astrazeneca of dishonesty,2021-03-24 12:13:53.000000,drudgereport,anti,cc,False,belgian mep accuses astrazeneca of dishonesty,right
11458,url_no_15607,58,0,that she had driven through the tent to protest coronavirus vaccines,that Brown had driven through the tent to protest coronavirus vaccines,"['that', 'she', 'had', 'driven', 'through', 'the', 'tent', 'to', 'protest', 'coronaviru', 'vaccin']","['that', 'brown', 'had', 'driven', 'through', 'the', 'tent', 'to', 'protest', 'coronaviru', 'vaccin']","['that', 'she', 'had', 'driven', 'through', 'the', 'tent', 'to', 'protest', 'coronaviru', 'vaccin']","['that', 'brown', 'had', 'driven', 'through', 'the', 'tent', 'to', 'protest', 'coronaviru', 'vaccin']",theblaze.com/news/tennessee-woman-arrested-for-allegedly-driving-through-vaccination-tent-yelling-no-vaccine,tennessee woman arrested for allegedly driving through  vaccination tent yelling no vaccine,2021-05-27 18:30:00.000000,blaze,anti,cc,False,tennessee woman arrested for allegedly driving through vaccination tent yelling no vaccine,right
9820,url_no_13154,103,0,"that anyone who has a history of ' significant ' allergic reactions to medicines , food or vaccines should not get the Pfizer coronavirus jab","that anyone who has a history of ' significant ' allergic reactions to medicines , food or vaccines should not get the Pfizer coronavirus jab","['that', 'anyon', 'who', 'ha', 'a', 'histori', 'of', ""'"", 'signific', ""'"", 'allerg', 'reaction', 'to', 'medicin', ',', 'food', 'or', 'vaccin', 'should', 'not', 'get', 'the', 'pfizer', 'coronaviru', 'jab']","['that', 'anyon', 'who', 'ha', 'a', 'histori', 'of', ""'"", 'signific', ""'"", 'allerg', 'reaction', 'to', 'medicin', ',', 'food', 'or', 'vaccin', 'should', 'not', 'get', 'the', 'pfizer', 'coronaviru', 'jab']","['that', 'anyon', 'who', 'ha', 'a', 'histori', 'of\', ""\'"", \'signific\', ""\'"", \'allerg', 'reaction', 'to', 'medicin', ',', 'food', 'or', 'vaccin', 'should', 'not', 'get', 'the', 'pfizer', 'coronaviru', 'jab']","['that', 'anyon', 'who', 'ha', 'a', 'histori', 'of\', ""\'"", \'signific\', ""\'"", \'allerg', 'reaction', 'to', 'medicin', ',', 'food', 'or', 'vaccin', 'should', 'not', 'get', 'the', 'pfizer', 'coronaviru', 'jab']",dailymail.co.uk/news/article-9162639/Pfizer-vaccine-prevent-transmission-coronavirus-others.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,pfizer vaccine could stop people spreading coronavirus as well as preventing disease,2021-01-19 07:09:26.000000,drudgereport,anti,cc,False,pfizer vaccine could stop people spreading coronavirus as well as preventing disease,right
7704,url_no_10629,32,2,is ' all I 'm going to talk about ' on Pennsylvania factory trip        COVID-19 vaccine mandates for state employees in New York and California,is ' all I 'm going to talk about ' on Pennsylvania factory trip        COVID-19 vaccine mandates for state employees in New York and California,"['is', ""'"", 'all', 'i', ""'m"", 'go', 'to', 'talk', 'about', ""'"", 'on', 'pennsylvania', 'factori', 'trip', 'covid-19', 'vaccin', 'mandat', 'for', 'state', 'employe', 'in', 'new', 'york', 'and', 'california']","['is', ""'"", 'all', 'i', ""'m"", 'go', 'to', 'talk', 'about', ""'"", 'on', 'pennsylvania', 'factori', 'trip', 'covid-19', 'vaccin', 'mandat', 'for', 'state', 'employe', 'in', 'new', 'york', 'and', 'california']","['is\', ""\'"", \'all', 'i\', ""\'m"", \'go', 'to', 'talk', 'about\', ""\'"", \'on', 'pennsylvania', 'factori', 'trip', 'covid-19', 'vaccin', 'mandat', 'for', 'state', 'employe', 'in', 'new', 'york', 'and', 'california']","['is\', ""\'"", \'all', 'i\', ""\'m"", \'go', 'to', 'talk', 'about\', ""\'"", \'on', 'pennsylvania', 'factori', 'trip', 'covid-19', 'vaccin', 'mandat', 'for', 'state', 'employe', 'in', 'new', 'york', 'and', 'california']",dailymail.co.uk/news/article-9335699/Louis-Farrakhans-vial-death-vaccine-claims-remain-Twitter-despite-misinformation-policies.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,louis farrakhans vial of death vaccine claims remain on twitter despite misinformation policies,2021-03-07 12:26:22.000000,drudgereport,anti,cc,False,louis farrakhans vial of death vaccine claims remain on twitter despite misinformation policies,right
6618,url_no_8733,99,0,they all do n’t have Covid-19 when the vaccine trial itself considered them to be “ suspected ” of having it,they all all do n’t have Covid-19 when the vaccine trial  considered they all to be “ suspected ” of having the vaccine trial itself,"['they', 'all', 'do', 'n', '’', 't', 'have', 'covid-19', 'when', 'the', 'vaccin', 'trial', 'itself', 'consid', 'them', 'to', 'be', '“', 'suspect', '”', 'of', 'have', 'it']","['they', 'all', 'all', 'do', 'n', '’', 't', 'have', 'covid-19', 'when', 'the', 'vaccin', 'trial', 'consid', 'they', 'all', 'to', 'be', '“', 'suspect', '”', 'of', 'have', 'the', 'vaccin', 'trial', 'itself']","['they', 'all', 'do', 'n', '’', 't', 'have', 'covid-19', 'when', 'the', 'vaccin', 'trial', 'itself', 'consid', 'them', 'to', 'be', '“', 'suspect', '”', 'of', 'have', 'it']","['they', 'all', 'all', 'do', 'n', '’', 't', 'have', 'covid-19', 'when', 'the', 'vaccin', 'trial', 'consid', 'they', 'all', 'to', 'be', '“', 'suspect', '”', 'of', 'have', 'the', 'vaccin', 'trial', 'itself']",sgtreport.com/2021/01/how-effective-is-the-covid-19-vaccine/,how effective is the covid19 vaccine,2021-01-21 01:00:10.000000,sgtreport,anti,cc,False,how effective is the covid19 vaccine,right
12671,url_no_18007,46,0,"Biden would ' never be able to produce a vaccine in record time ' and tears into ' corrupt ' media for not reporting the lower COVID death rate President Trump skipped a    side - conference at the G20 summit to play golf at   Trump National Golf Club Washington D.C. in Sterling , Virginia , on Saturday The side - conference , attended by world leaders , discussed the coronavirus pandemic and preparedness Trump was present during the initial meeting , where addressed the US 's coronavirus response , economy recovery and said Americans should receive vaccines first Trump has not yet conceded to Joe Biden in the 2020 presidential election after it was called two weeks ago Trump is expected to attend another G20 summit meeting on Sunday morning The president on Saturday evening lashed out at the ' fake news ' media for not giving him enough credit for the development of a COVID-19 vaccine By Ariel Zilber and Lauren Edmonds For Dailymail.com   ","Biden would ' never be able to produce a vaccine in record time ' and tears into ' corrupt ' media for not reporting the lower COVID death rate President Trump skipped a    side - conference at the G20 summit to play golf at   Trump National Golf Club Washington D.C. in Sterling , Virginia , on Saturday The side - conference , attended by world leaders , discussed the coronavirus pandemic and preparedness Trump was present during the initial meeting , where addressed the US 's coronavirus response , economy recovery and said Americans should receive vaccines first Trump has not yet conceded to Joe Biden in the 2020 presidential election after President Trump was called two weeks ago Trump is expected to attend another G20 summit meeting on Sunday morning The president on Saturday evening lashed out at the ' fake news ' media for not giving President Trump enough credit for the development of a COVID-19 vaccine By Ariel Zilber and Lauren Edmonds For Dailymail.com   ","['biden', 'would', ""'"", 'never', 'be', 'abl', 'to', 'produc', 'a', 'vaccin', 'in', 'record', 'time', ""'"", 'and', 'tear', 'into', ""'"", 'corrupt', ""'"", 'media', 'for', 'not', 'report', 'the', 'lower', 'covid', 'death', 'rate', 'presid', 'trump', 'skip', 'a', 'side', '-', 'confer', 'at', 'the', 'g20', 'summit', 'to', 'play', 'golf', 'at', 'trump', 'nation', 'golf', 'club', 'washington', 'd.c.', 'in', 'sterl', ',', 'virginia', ',', 'on', 'saturday', 'the', 'side', '-', 'confer', ',', 'attend', 'by', 'world', 'leader', ',', 'discuss', 'the', 'coronaviru', 'pandem', 'and', 'prepared', 'trump', 'wa', 'present', 'dure', 'the', 'initi', 'meet', ',', 'where', 'address', 'the', 'us', ""'s"", 'coronaviru', 'respons', ',', 'economi', 'recoveri', 'and', 'said', 'american', 'should', 'receiv', 'vaccin', 'first', 'trump', 'ha', 'not', 'yet', 'conced', 'to', 'joe', 'biden', 'in', 'the', '2020', 'presidenti', 'elect', 'after', 'it', 'wa', 'call', 'two', 'week', 'ago', 'trump', 'is', 'expect', 'to', 'attend', 'anoth', 'g20', 'summit', 'meet', 'on', 'sunday', 'morn', 'the', 'presid', 'on', 'saturday', 'even', 'lash', 'out', 'at', 'the', ""'"", 'fake', 'news', ""'"", 'media', 'for', 'not', 'give', 'him', 'enough', 'credit', 'for', 'the', 'develop', 'of', 'a', 'covid-19', 'vaccin', 'by', 'ariel', 'zilber', 'and', 'lauren', 'edmond', 'for', 'dailymail.com']","['biden', 'would', ""'"", 'never', 'be', 'abl', 'to', 'produc', 'a', 'vaccin', 'in', 'record', 'time', ""'"", 'and', 'tear', 'into', ""'"", 'corrupt', ""'"", 'media', 'for', 'not', 'report', 'the', 'lower', 'covid', 'death', 'rate', 'presid', 'trump', 'skip', 'a', 'side', '-', 'confer', 'at', 'the', 'g20', 'summit', 'to', 'play', 'golf', 'at', 'trump', 'nation', 'golf', 'club', 'washington', 'd.c.', 'in', 'sterl', ',', 'virginia', ',', 'on', 'saturday', 'the', 'side', '-', 'confer', ',', 'attend', 'by', 'world', 'leader', ',', 'discuss', 'the', 'coronaviru', 'pandem', 'and', 'prepared', 'trump', 'wa', 'present', 'dure', 'the', 'initi', 'meet', ',', 'where', 'address', 'the', 'us', ""'s"", 'coronaviru', 'respons', ',', 'economi', 'recoveri', 'and', 'said', 'american', 'should', 'receiv', 'vaccin', 'first', 'trump', 'ha', 'not', 'yet', 'conced', 'to', 'joe', 'biden', 'in', 'the', '2020', 'presidenti', 'elect', 'after', 'presid', 'trump', 'wa', 'call', 'two', 'week', 'ago', 'trump', 'is', 'expect', 'to', 'attend', 'anoth', 'g20', 'summit', 'meet', 'on', 'sunday', 'morn', 'the', 'presid', 'on', 'saturday', 'even', 'lash', 'out', 'at', 'the', ""'"", 'fake', 'news', ""'"", 'media', 'for', 'not', 'give', 'presid', 'trump', 'enough', 'credit', 'for', 'the', 'develop', 'of', 'a', 'covid-19', 'vaccin', 'by', 'ariel', 'zilber', 'and', 'lauren', 'edmond', 'for', 'dailymail.com']","['biden', 'would\', ""\'"", \'never', 'be', 'abl', 'to', 'produc', 'a', 'vaccin', 'in', 'record', 'time\', ""\'"", \'and', 'tear', 'into\', ""\'"", \'corrupt\', ""\'"", \'media', 'for', 'not', 'report', 'the', 'lower', 'covid', 'death', 'rate', 'presid', 'trump', 'skip', 'a', 'side', '-', 'confer', 'at', 'the', 'g20', 'summit', 'to', 'play', 'golf', 'at', 'trump', 'nation', 'golf', 'club', 'washington', 'd.c.', 'in', 'sterl', ',', 'virginia', ',', 'on', 'saturday', 'the', 'side', '-', 'confer', ',', 'attend', 'by', 'world', 'leader', ',', 'discuss', 'the', 'coronaviru', 'pandem', 'and', 'prepared', 'trump', 'wa', 'present', 'dure', 'the', 'initi', 'meet', ',', 'where', 'address', 'the', 'us\', ""\'s"", \'coronaviru', 'respons', ',', 'economi', 'recoveri', 'and', 'said', 'american', 'should', 'receiv', 'vaccin', 'first', 'trump', 'ha', 'not', 'yet', 'conced', 'to', 'joe', 'biden', 'in', 'the', '2020', 'presidenti', 'elect', 'after', 'it', 'wa', 'call', 'two', 'week', 'ago', 'trump', 'is', 'expect', 'to', 'attend', 'anoth', 'g20', 'summit', 'meet', 'on', 'sunday', 'morn', 'the', 'presid', 'on', 'saturday', 'even', 'lash', 'out', 'at', 'the\', ""\'"", \'fake', 'news\', ""\'"", \'media', 'for', 'not', 'give', 'him', 'enough', 'credit', 'for', 'the', 'develop', 'of', 'a', 'covid-19', 'vaccin', 'by', 'ariel', 'zilber', 'and', 'lauren', 'edmond', 'for', 'dailymail.com']","['biden', 'would\', ""\'"", \'never', 'be', 'abl', 'to', 'produc', 'a', 'vaccin', 'in', 'record', 'time\', ""\'"", \'and', 'tear', 'into\', ""\'"", \'corrupt\', ""\'"", \'media', 'for', 'not', 'report', 'the', 'lower', 'covid', 'death', 'rate', 'presid', 'trump', 'skip', 'a', 'side', '-', 'confer', 'at', 'the', 'g20', 'summit', 'to', 'play', 'golf', 'at', 'trump', 'nation', 'golf', 'club', 'washington', 'd.c.', 'in', 'sterl', ',', 'virginia', ',', 'on', 'saturday', 'the', 'side', '-', 'confer', ',', 'attend', 'by', 'world', 'leader', ',', 'discuss', 'the', 'coronaviru', 'pandem', 'and', 'prepared', 'trump', 'wa', 'present', 'dure', 'the', 'initi', 'meet', ',', 'where', 'address', 'the', 'us\', ""\'s"", \'coronaviru', 'respons', ',', 'economi', 'recoveri', 'and', 'said', 'american', 'should', 'receiv', 'vaccin', 'first', 'trump', 'ha', 'not', 'yet', 'conced', 'to', 'joe', 'biden', 'in', 'the', '2020', 'presidenti', 'elect', 'after', 'presid', 'trump', 'wa', 'call', 'two', 'week', 'ago', 'trump', 'is', 'expect', 'to', 'attend', 'anoth', 'g20', 'summit', 'meet', 'on', 'sunday', 'morn', 'the', 'presid', 'on', 'saturday', 'even', 'lash', 'out', 'at', 'the\', ""\'"", \'fake', 'news\', ""\'"", \'media', 'for', 'not', 'give', 'presid', 'trump', 'enough', 'credit', 'for', 'the', 'develop', 'of', 'a', 'covid-19', 'vaccin', 'by', 'ariel', 'zilber', 'and', 'lauren', 'edmond', 'for', 'dailymail.com']",dailymail.co.uk/news/article-8973429/Trump-skips-virtual-G20-session-pandemic-preparedness-play-golf.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,trump skips virtual g20 sidesession on pandemic preparedness to play golf,2020-11-21 16:09:53.000000,drudgereport,anti,cc,False,trump skips virtual g20 sidesession on pandemic preparedness to play golf,right
8384,url_no_11464,87,0,that 71 % of respondents said they would definitely ( 41 % ) or probably ( 30 % ) get a COVID-19 vaccine if it were deemed safe by scientists and available to everyone for free,that 71 % of respondents said 71% of respondents would definitely ( 41 % ) or probably ( 30 % ) get a COVID-19 vaccine if a COVID-19 vaccine were deemed safe by scientists and available to everyone for free,"['that', '71', '%', 'of', 'respond', 'said', 'they', 'would', 'definit', '(', '41', '%', ')', 'or', 'probabl', '(', '30', '%', ')', 'get', 'a', 'covid-19', 'vaccin', 'if', 'it', 'were', 'deem', 'safe', 'by', 'scientist', 'and', 'avail', 'to', 'everyon', 'for', 'free']","['that', '71', '%', 'of', 'respond', 'said', '71', '%', 'of', 'respond', 'would', 'definit', '(', '41', '%', ')', 'or', 'probabl', '(', '30', '%', ')', 'get', 'a', 'covid-19', 'vaccin', 'if', 'a', 'covid-19', 'vaccin', 'were', 'deem', 'safe', 'by', 'scientist', 'and', 'avail', 'to', 'everyon', 'for', 'free']","['that', '71', '%', 'of', 'respond', 'said', 'they', 'would', 'definit', '(', '41', '%', ')', 'or', 'probabl', '(', '30', '%', ')', 'get', 'a', 'covid-19', 'vaccin', 'if', 'it', 'were', 'deem', 'safe', 'by', 'scientist', 'and', 'avail', 'to', 'everyon', 'for', 'free']","['that', '71', '%', 'of', 'respond', 'said', '71', '%', 'of', 'respond', 'would', 'definit', '(', '41', '%', ')', 'or', 'probabl', '(', '30', '%', ')', 'get', 'a', 'covid-19', 'vaccin', 'if', 'a', 'covid-19', 'vaccin', 'were', 'deem', 'safe', 'by', 'scientist', 'and', 'avail', 'to', 'everyon', 'for', 'free']",marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D18AD8170343%7D&siteid=rss&rss=1,more americans now say theyll get a vaccine once its available,2020-12-15 12:36:00.000000,marketwatch,anti,cc,False,more americans now say theyll get a vaccine once its available,right
12260,url_no_17217,77,0,"how Britain is still racing ahead of the EU in vaccinating its population against Covid-19 , more than three months after the continent started its jab programme           The UK has vaccinated more than 30million people with their first dose of Covid vaccine and fully immunised 4 m               ","how Britain is still racing ahead of the EU in vaccinating EU population against Covid-19 , more than three months after the continent started the continent jab programme           The UK has vaccinated more than 30million people with more than 30million people first dose of Covid vaccine and fully immunised 4 m               ","['how', 'britain', 'is', 'still', 'race', 'ahead', 'of', 'the', 'eu', 'in', 'vaccin', 'it', 'popul', 'against', 'covid-19', ',', 'more', 'than', 'three', 'month', 'after', 'the', 'contin', 'start', 'it', 'jab', 'programm', 'the', 'uk', 'ha', 'vaccin', 'more', 'than', '30million', 'peopl', 'with', 'their', 'first', 'dose', 'of', 'covid', 'vaccin', 'and', 'fulli', 'immunis', '4', 'm']","['how', 'britain', 'is', 'still', 'race', 'ahead', 'of', 'the', 'eu', 'in', 'vaccin', 'eu', 'popul', 'against', 'covid-19', ',', 'more', 'than', 'three', 'month', 'after', 'the', 'contin', 'start', 'the', 'contin', 'jab', 'programm', 'the', 'uk', 'ha', 'vaccin', 'more', 'than', '30million', 'peopl', 'with', 'more', 'than', '30million', 'peopl', 'first', 'dose', 'of', 'covid', 'vaccin', 'and', 'fulli', 'immunis', '4', 'm']","['how', 'britain', 'is', 'still', 'race', 'ahead', 'of', 'the', 'eu', 'in', 'vaccin', 'it', 'popul', 'against', 'covid-19', ',', 'more', 'than', 'three', 'month', 'after', 'the', 'contin', 'start', 'it', 'jab', 'programm', 'the', 'uk', 'ha', 'vaccin', 'more', 'than', '30million', 'peopl', 'with', 'their', 'first', 'dose', 'of', 'covid', 'vaccin', 'and', 'fulli', 'immunis', '4', 'm']","['how', 'britain', 'is', 'still', 'race', 'ahead', 'of', 'the', 'eu', 'in', 'vaccin', 'eu', 'popul', 'against', 'covid-19', ',', 'more', 'than', 'three', 'month', 'after', 'the', 'contin', 'start', 'the', 'contin', 'jab', 'programm', 'the', 'uk', 'ha', 'vaccin', 'more', 'than', '30million', 'peopl', 'with', 'more', 'than', '30million', 'peopl', 'first', 'dose', 'of', 'covid', 'vaccin', 'and', 'fulli', 'immunis', '4', 'm']",dailymail.co.uk/news/article-9423131/There-no-negotiation-EU-stokes-vaccine-war-warning-zero-jabs-exported-UK.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,there is no negotiation eu stokes vaccine war warning zero jabs will be exported to the uk,2021-04-01 04:38:01.000000,drudgereport,anti,cc,False,there is no negotiation eu stokes vaccine war warning zero jabs will be exported to the uk,right
