	round	batch	sent_id	sentence
0	0	0	t0	He is worried that a White House-backed effort to develop a coronavirus vaccine is sending the wrong message because of its name.
1	0	0	t1	"They need a vaccine, with a similar share saying that they don't know if a COVID-19 vaccine will work and that they don't trust the government."
2	0	0	t2	Their first shot of the COVID vaccine at city-run sites.
3	0	0	t3	That she had driven through the tent to protest coronavirus vaccines
4	0	0	t4	"Anyone who has a history of ' significant ' allergic reactions to medicines , food or vaccines should not get the Pfizer coronavirus jab"
5	0	0	t5	The president on Saturday evening lashed out at the ' fake news ' media for not giving him enough credit for the development of a COVID-19 vaccine. 
6	0	0	t6	That 71% of respondents said they would definitely  (41%) or probably (30%) get a COVID-19 vaccine if it were deemed safe by scientists and available to everyone for free.
7	0	0	t7	NY mandates ALL state workers must get the COVID-19 vaccine or undergo weekly testing.
8	0	0	t8	Covid vaccines are working to thwart the outbreak within the next fortnight.
9	0	0	t9	"They expect to apply to the FDA for an emergency - use authorization before the end of the month, after they have collected sufficient data on the vaccine's safety."
10	0	0	t10	"The taskforce will ensure that any potential coronavirus vaccine, when available, can be produced quickly and at scale so it can be made available to the public as quickly as possible."
11	0	0	t11	New York City is setting up plans to distribute COVID-19 vaccines starting this month.
12	0	0	t12	The Covid-19 vaccine is a witches brew.
13	0	0	t13	"Only about half of Americans say they would get a COVID-19 vaccine if the scientists working furiously to create one succeed, a number that's surprisingly low considering the effort going into the global race for a vaccine.    "
14	0	0	t14	Average American will be able to get a COVID-19 vaccine by late March or early April.
15	0	0	t15	COVID vaccine should be MANDATORY in the NBA and says it would be 'tragic if someone died because of unnecessary conspiracy bulls.
16	0	0	t16	A successful Covid vaccine would be the company's first approved productâ bankrolling the business and validating the messenger-RNA technology behind the rest of Moderna's pipeline.
17	0	0	t17	86 % of children who participated in Pfizer covid vaccine trial experienced adverse reactions.
18	0	0	t18	It's important that we give the message that vaccines will help us in the fight against COVID and we need to continue to use these vaccines.
19	0	0	t19	They are highly effective at reducing or preventing symptomatic disease.
20	0	0	t20	Volunteers who got two doses of the vaccine had high levels of virus-killing antibodies that exceeded the average levels seen in people who had recovered from COVID-19.
21	0	0	t21	They would not attend a sporting event before a coronavirus vaccine was available.
22	0	0	t22	Covid-19 vaccines require two doses at varying intervals.
23	0	0	t23	The covid spike protein is what's causing deadly blood clots and it's in all the covid vaccines (by design).
24	0	0	t24	This vaccine protects you from getting ill with Covid.
25	0	0	t25	The CEO of drugmaker Pfizer has claimed the company 'didn't conspire with anyone' to delay releasing efficacy results for its COVID-19 vaccine until after the U.S. presidential election.
26	0	0	t26	The first nine groups should have received Covid vaccines before May 6.
27	0	0	t27	"Its COVID-19 vaccine was effective against coronavirus and the new U.K. strain, though not the South African variant."
28	0	0	t28	A Covid-19 vaccine will be ready before the presidential election in November.
29	0	0	t29	Her neighbors registered for the COVID-19 vaccine.
30	0	0	t30	A 17-year-old student developed symptoms of a heart condition about one week after his first dose of Pfizer's COVID vaccine and was subsequently diagnosed with a heart condition.
