,guid,sent_no,quote_no,quote_text,coref,quote_stems,quote_stems_coref,quote_stem_list,quote_stem_list_coref,url,title,date,domain,stance,topic,is_AP,reg_title,leaning,annotator_r,annotator_p,annotator_a,annotator_s 
5420,url_no_6743,62,0,He is worried that a White House-backed effort to develop a coronavirus vaccine is sending the wrong message because of its name.,he is worried that a White House - backed effort to develop a coronavirus vaccine is sending the wrong message because of a coronavirus vaccine name,"['he', 'is', 'worri', 'that', 'a', 'white', 'hous', '-', 'back', 'effort', 'to', 'develop', 'a', 'coronaviru', 'vaccin', 'is', 'send', 'the', 'wrong', 'messag', 'becaus', 'of', 'it', 'name']","['he', 'is', 'worri', 'that', 'a', 'white', 'hous', '-', 'back', 'effort', 'to', 'develop', 'a', 'coronaviru', 'vaccin', 'is', 'send', 'the', 'wrong', 'messag', 'becaus', 'of', 'a', 'coronaviru', 'vaccin', 'name']","['he', 'is', 'worri', 'that', 'a', 'white', 'hous', '-', 'back', 'effort', 'to', 'develop', 'a', 'coronaviru', 'vaccin', 'is', 'send', 'the', 'wrong', 'messag', 'becaus', 'of', 'it', 'name']","['he', 'is', 'worri', 'that', 'a', 'white', 'hous', '-', 'back', 'effort', 'to', 'develop', 'a', 'coronaviru', 'vaccin', 'is', 'send', 'the', 'wrong', 'messag', 'becaus', 'of', 'a', 'coronaviru', 'vaccin', 'name']",newsmax.com/us/fauci-operation-warp-speed-anti-vaxxer/2020/05/21/id/968285,fauci race for virus vaccine can send wrong message,22:55.0,newsmax,anti,cc,FALSE,fauci race for virus vaccine can send wrong message,right,neutral,disagree,Disagree,neutral
765,url_no_1375,48,4,"They need a vaccine, with a similar share saying that they don't know if a COVID-19 vaccine will work and that they don't trust the government.","38% need a vaccine , with a similar share saying that 38% do n’t know if a COVID-19 vaccine will work and that 38% do n't trust the government","['they', 'need', 'a', 'vaccin', ',', 'with', 'a', 'similar', 'share', 'say', 'that', 'they', 'do', 'n', '’', 't', 'know', 'if', 'a', 'covid-19', 'vaccin', 'will', 'work', 'and', 'that', 'they', 'do', ""n't"", 'trust', 'the', 'govern']","['38', '%', 'need', 'a', 'vaccin', ',', 'with', 'a', 'similar', 'share', 'say', 'that', '38', '%', 'do', 'n', '’', 't', 'know', 'if', 'a', 'covid-19', 'vaccin', 'will', 'work', 'and', 'that', '38', '%', 'do', ""n't"", 'trust', 'the', 'govern']","['they', 'need', 'a', 'vaccin', ',', 'with', 'a', 'similar', 'share', 'say', 'that', 'they', 'do', 'n', '’', 't', 'know', 'if', 'a', 'covid-19', 'vaccin', 'will', 'work', 'and', 'that', 'they', 'do\', ""n\'t"", \'trust', 'the', 'govern']","['38', '%', 'need', 'a', 'vaccin', ',', 'with', 'a', 'similar', 'share', 'say', 'that', '38', '%', 'do', 'n', '’', 't', 'know', 'if', 'a', 'covid-19', 'vaccin', 'will', 'work', 'and', 'that', '38', '%', 'do\', ""n\'t"", \'trust', 'the', 'govern']",newsmax.com/newsfront/Virus-Outbreak-AP-Poll/2021/02/10/id/1009420,apnorc poll a third of us adults skeptical of covid19 shots,14:09.0,newsmax,anti,cc,FALSE,apnorc poll a third of us adults skeptical of covid19 shots,right,disagree,disagree,Agree,neutral
1246,url_no_1989,33,1,Their first shot of the COVID vaccine at city-run sites.,PAYING people first shot of the COVID vaccine at city - run sites        Vaccine hesitancy among US adults fell by one - third during early months of 2021 with number of   uncertain black Americans reducing by HALF        Quarter of white evangelical protestants say white evangelical protestants wo n't get vaccinated - the biggest religious group to refuse shot followed by Mormons,"['their', 'first', 'shot', 'of', 'the', 'covid', 'vaccin', 'at', 'citi', '-', 'run', 'site', 'vaccin', 'hesit', 'among', 'us', 'adult', 'fell', 'by', 'one', '-', 'third', 'dure', 'earli', 'month', 'of', '2021', 'with', 'number', 'of', 'uncertain', 'black', 'american', 'reduc', 'by', 'half', 'quarter', 'of', 'white', 'evangel', 'protest', 'say', 'they', 'wo', ""n't"", 'get', 'vaccin', '-', 'the', 'biggest', 'religi', 'group', 'to', 'refus', 'shot', 'follow', 'by', 'mormon']","['pay', 'peopl', 'first', 'shot', 'of', 'the', 'covid', 'vaccin', 'at', 'citi', '-', 'run', 'site', 'vaccin', 'hesit', 'among', 'us', 'adult', 'fell', 'by', 'one', '-', 'third', 'dure', 'earli', 'month', 'of', '2021', 'with', 'number', 'of', 'uncertain', 'black', 'american', 'reduc', 'by', 'half', 'quarter', 'of', 'white', 'evangel', 'protest', 'say', 'white', 'evangel', 'protest', 'wo', ""n't"", 'get', 'vaccin', '-', 'the', 'biggest', 'religi', 'group', 'to', 'refus', 'shot', 'follow', 'by', 'mormon']","['their', 'first', 'shot', 'of', 'the', 'covid', 'vaccin', 'at', 'citi', '-', 'run', 'site', 'vaccin', 'hesit', 'among', 'us', 'adult', 'fell', 'by', 'one', '-', 'third', 'dure', 'earli', 'month', 'of', '2021', 'with', 'number', 'of', 'uncertain', 'black', 'american', 'reduc', 'by', 'half', 'quarter', 'of', 'white', 'evangel', 'protest', 'say', 'they', 'wo\', ""n\'t"", \'get', 'vaccin', '-', 'the', 'biggest', 'religi', 'group', 'to', 'refus', 'shot', 'follow', 'by', 'mormon']","['pay', 'peopl', 'first', 'shot', 'of', 'the', 'covid', 'vaccin', 'at', 'citi', '-', 'run', 'site', 'vaccin', 'hesit', 'among', 'us', 'adult', 'fell', 'by', 'one', '-', 'third', 'dure', 'earli', 'month', 'of', '2021', 'with', 'number', 'of', 'uncertain', 'black', 'american', 'reduc', 'by', 'half', 'quarter', 'of', 'white', 'evangel', 'protest', 'say', 'white', 'evangel', 'protest', 'wo\', ""n\'t"", \'get', 'vaccin', '-', 'the', 'biggest', 'religi', 'group', 'to', 'refus', 'shot', 'follow', 'by', 'mormon']",dailymail.co.uk/news/article-9398013/Belgian-MEP-accuses-AstraZeneca-dishonesty.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,belgian mep accuses astrazeneca of dishonesty,13:53.0,drudgereport,anti,cc,FALSE,belgian mep accuses astrazeneca of dishonesty,right,agree,disagree,Agree,neutral
11458,url_no_15607,58,0,That she had driven through the tent to protest coronavirus vaccines,that Brown had driven through the tent to protest coronavirus vaccines,"['that', 'she', 'had', 'driven', 'through', 'the', 'tent', 'to', 'protest', 'coronaviru', 'vaccin']","['that', 'brown', 'had', 'driven', 'through', 'the', 'tent', 'to', 'protest', 'coronaviru', 'vaccin']","['that', 'she', 'had', 'driven', 'through', 'the', 'tent', 'to', 'protest', 'coronaviru', 'vaccin']","['that', 'brown', 'had', 'driven', 'through', 'the', 'tent', 'to', 'protest', 'coronaviru', 'vaccin']",theblaze.com/news/tennessee-woman-arrested-for-allegedly-driving-through-vaccination-tent-yelling-no-vaccine,tennessee woman arrested for allegedly driving through  vaccination tent yelling no vaccine,30:00.0,blaze,anti,cc,FALSE,tennessee woman arrested for allegedly driving through vaccination tent yelling no vaccine,right,disagree,disagree,Disagree,neutral
9820,url_no_13154,103,0,"Anyone who has a history of ' significant ' allergic reactions to medicines , food or vaccines should not get the Pfizer coronavirus jab","that anyone who has a history of ' significant ' allergic reactions to medicines , food or vaccines should not get the Pfizer coronavirus jab","['that', 'anyon', 'who', 'ha', 'a', 'histori', 'of', ""'"", 'signific', ""'"", 'allerg', 'reaction', 'to', 'medicin', ',', 'food', 'or', 'vaccin', 'should', 'not', 'get', 'the', 'pfizer', 'coronaviru', 'jab']","['that', 'anyon', 'who', 'ha', 'a', 'histori', 'of', ""'"", 'signific', ""'"", 'allerg', 'reaction', 'to', 'medicin', ',', 'food', 'or', 'vaccin', 'should', 'not', 'get', 'the', 'pfizer', 'coronaviru', 'jab']","['that', 'anyon', 'who', 'ha', 'a', 'histori', 'of\', ""\'"", \'signific\', ""\'"", \'allerg', 'reaction', 'to', 'medicin', ',', 'food', 'or', 'vaccin', 'should', 'not', 'get', 'the', 'pfizer', 'coronaviru', 'jab']","['that', 'anyon', 'who', 'ha', 'a', 'histori', 'of\', ""\'"", \'signific\', ""\'"", \'allerg', 'reaction', 'to', 'medicin', ',', 'food', 'or', 'vaccin', 'should', 'not', 'get', 'the', 'pfizer', 'coronaviru', 'jab']",dailymail.co.uk/news/article-9162639/Pfizer-vaccine-prevent-transmission-coronavirus-others.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,pfizer vaccine could stop people spreading coronavirus as well as preventing disease,09:26.0,drudgereport,anti,cc,FALSE,pfizer vaccine could stop people spreading coronavirus as well as preventing disease,right,disagree,disagree,Disagree,disagree
12671,url_no_18007,46,0,The president on Saturday evening lashed out at the ' fake news ' media for not giving him enough credit for the development of a COVID-19 vaccine. ,"Biden would ' never be able to produce a vaccine in record time ' and tears into ' corrupt ' media for not reporting the lower COVID death rate President Trump skipped a    side - conference at the G20 summit to play golf at   Trump National Golf Club Washington D.C. in Sterling , Virginia , on Saturday The side - conference , attended by world leaders , discussed the coronavirus pandemic and preparedness Trump was present during the initial meeting , where addressed the US 's coronavirus response , economy recovery and said Americans should receive vaccines first Trump has not yet conceded to Joe Biden in the 2020 presidential election after President Trump was called two weeks ago Trump is expected to attend another G20 summit meeting on Sunday morning The president on Saturday evening lashed out at the ' fake news ' media for not giving President Trump enough credit for the development of a COVID-19 vaccine By Ariel Zilber and Lauren Edmonds For Dailymail.com   ","['biden', 'would', ""'"", 'never', 'be', 'abl', 'to', 'produc', 'a', 'vaccin', 'in', 'record', 'time', ""'"", 'and', 'tear', 'into', ""'"", 'corrupt', ""'"", 'media', 'for', 'not', 'report', 'the', 'lower', 'covid', 'death', 'rate', 'presid', 'trump', 'skip', 'a', 'side', '-', 'confer', 'at', 'the', 'g20', 'summit', 'to', 'play', 'golf', 'at', 'trump', 'nation', 'golf', 'club', 'washington', 'd.c.', 'in', 'sterl', ',', 'virginia', ',', 'on', 'saturday', 'the', 'side', '-', 'confer', ',', 'attend', 'by', 'world', 'leader', ',', 'discuss', 'the', 'coronaviru', 'pandem', 'and', 'prepared', 'trump', 'wa', 'present', 'dure', 'the', 'initi', 'meet', ',', 'where', 'address', 'the', 'us', ""'s"", 'coronaviru', 'respons', ',', 'economi', 'recoveri', 'and', 'said', 'american', 'should', 'receiv', 'vaccin', 'first', 'trump', 'ha', 'not', 'yet', 'conced', 'to', 'joe', 'biden', 'in', 'the', '2020', 'presidenti', 'elect', 'after', 'it', 'wa', 'call', 'two', 'week', 'ago', 'trump', 'is', 'expect', 'to', 'attend', 'anoth', 'g20', 'summit', 'meet', 'on', 'sunday', 'morn', 'the', 'presid', 'on', 'saturday', 'even', 'lash', 'out', 'at', 'the', ""'"", 'fake', 'news', ""'"", 'media', 'for', 'not', 'give', 'him', 'enough', 'credit', 'for', 'the', 'develop', 'of', 'a', 'covid-19', 'vaccin', 'by', 'ariel', 'zilber', 'and', 'lauren', 'edmond', 'for', 'dailymail.com']","['biden', 'would', ""'"", 'never', 'be', 'abl', 'to', 'produc', 'a', 'vaccin', 'in', 'record', 'time', ""'"", 'and', 'tear', 'into', ""'"", 'corrupt', ""'"", 'media', 'for', 'not', 'report', 'the', 'lower', 'covid', 'death', 'rate', 'presid', 'trump', 'skip', 'a', 'side', '-', 'confer', 'at', 'the', 'g20', 'summit', 'to', 'play', 'golf', 'at', 'trump', 'nation', 'golf', 'club', 'washington', 'd.c.', 'in', 'sterl', ',', 'virginia', ',', 'on', 'saturday', 'the', 'side', '-', 'confer', ',', 'attend', 'by', 'world', 'leader', ',', 'discuss', 'the', 'coronaviru', 'pandem', 'and', 'prepared', 'trump', 'wa', 'present', 'dure', 'the', 'initi', 'meet', ',', 'where', 'address', 'the', 'us', ""'s"", 'coronaviru', 'respons', ',', 'economi', 'recoveri', 'and', 'said', 'american', 'should', 'receiv', 'vaccin', 'first', 'trump', 'ha', 'not', 'yet', 'conced', 'to', 'joe', 'biden', 'in', 'the', '2020', 'presidenti', 'elect', 'after', 'presid', 'trump', 'wa', 'call', 'two', 'week', 'ago', 'trump', 'is', 'expect', 'to', 'attend', 'anoth', 'g20', 'summit', 'meet', 'on', 'sunday', 'morn', 'the', 'presid', 'on', 'saturday', 'even', 'lash', 'out', 'at', 'the', ""'"", 'fake', 'news', ""'"", 'media', 'for', 'not', 'give', 'presid', 'trump', 'enough', 'credit', 'for', 'the', 'develop', 'of', 'a', 'covid-19', 'vaccin', 'by', 'ariel', 'zilber', 'and', 'lauren', 'edmond', 'for', 'dailymail.com']","['biden', 'would\', ""\'"", \'never', 'be', 'abl', 'to', 'produc', 'a', 'vaccin', 'in', 'record', 'time\', ""\'"", \'and', 'tear', 'into\', ""\'"", \'corrupt\', ""\'"", \'media', 'for', 'not', 'report', 'the', 'lower', 'covid', 'death', 'rate', 'presid', 'trump', 'skip', 'a', 'side', '-', 'confer', 'at', 'the', 'g20', 'summit', 'to', 'play', 'golf', 'at', 'trump', 'nation', 'golf', 'club', 'washington', 'd.c.', 'in', 'sterl', ',', 'virginia', ',', 'on', 'saturday', 'the', 'side', '-', 'confer', ',', 'attend', 'by', 'world', 'leader', ',', 'discuss', 'the', 'coronaviru', 'pandem', 'and', 'prepared', 'trump', 'wa', 'present', 'dure', 'the', 'initi', 'meet', ',', 'where', 'address', 'the', 'us\', ""\'s"", \'coronaviru', 'respons', ',', 'economi', 'recoveri', 'and', 'said', 'american', 'should', 'receiv', 'vaccin', 'first', 'trump', 'ha', 'not', 'yet', 'conced', 'to', 'joe', 'biden', 'in', 'the', '2020', 'presidenti', 'elect', 'after', 'it', 'wa', 'call', 'two', 'week', 'ago', 'trump', 'is', 'expect', 'to', 'attend', 'anoth', 'g20', 'summit', 'meet', 'on', 'sunday', 'morn', 'the', 'presid', 'on', 'saturday', 'even', 'lash', 'out', 'at', 'the\', ""\'"", \'fake', 'news\', ""\'"", \'media', 'for', 'not', 'give', 'him', 'enough', 'credit', 'for', 'the', 'develop', 'of', 'a', 'covid-19', 'vaccin', 'by', 'ariel', 'zilber', 'and', 'lauren', 'edmond', 'for', 'dailymail.com']","['biden', 'would\', ""\'"", \'never', 'be', 'abl', 'to', 'produc', 'a', 'vaccin', 'in', 'record', 'time\', ""\'"", \'and', 'tear', 'into\', ""\'"", \'corrupt\', ""\'"", \'media', 'for', 'not', 'report', 'the', 'lower', 'covid', 'death', 'rate', 'presid', 'trump', 'skip', 'a', 'side', '-', 'confer', 'at', 'the', 'g20', 'summit', 'to', 'play', 'golf', 'at', 'trump', 'nation', 'golf', 'club', 'washington', 'd.c.', 'in', 'sterl', ',', 'virginia', ',', 'on', 'saturday', 'the', 'side', '-', 'confer', ',', 'attend', 'by', 'world', 'leader', ',', 'discuss', 'the', 'coronaviru', 'pandem', 'and', 'prepared', 'trump', 'wa', 'present', 'dure', 'the', 'initi', 'meet', ',', 'where', 'address', 'the', 'us\', ""\'s"", \'coronaviru', 'respons', ',', 'economi', 'recoveri', 'and', 'said', 'american', 'should', 'receiv', 'vaccin', 'first', 'trump', 'ha', 'not', 'yet', 'conced', 'to', 'joe', 'biden', 'in', 'the', '2020', 'presidenti', 'elect', 'after', 'presid', 'trump', 'wa', 'call', 'two', 'week', 'ago', 'trump', 'is', 'expect', 'to', 'attend', 'anoth', 'g20', 'summit', 'meet', 'on', 'sunday', 'morn', 'the', 'presid', 'on', 'saturday', 'even', 'lash', 'out', 'at', 'the\', ""\'"", \'fake', 'news\', ""\'"", \'media', 'for', 'not', 'give', 'presid', 'trump', 'enough', 'credit', 'for', 'the', 'develop', 'of', 'a', 'covid-19', 'vaccin', 'by', 'ariel', 'zilber', 'and', 'lauren', 'edmond', 'for', 'dailymail.com']",dailymail.co.uk/news/article-8973429/Trump-skips-virtual-G20-session-pandemic-preparedness-play-golf.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,trump skips virtual g20 sidesession on pandemic preparedness to play golf,09:53.0,drudgereport,anti,cc,FALSE,trump skips virtual g20 sidesession on pandemic preparedness to play golf,right,neutral,disagree,Neutral,neutral
8384,url_no_11464,87,0,That 71% of respondents said they would definitely  (41%) or probably (30%) get a COVID-19 vaccine if it were deemed safe by scientists and available to everyone for free.,that 71 % of respondents said 71% of respondents would definitely ( 41 % ) or probably ( 30 % ) get a COVID-19 vaccine if a COVID-19 vaccine were deemed safe by scientists and available to everyone for free,"['that', '71', '%', 'of', 'respond', 'said', 'they', 'would', 'definit', '(', '41', '%', ')', 'or', 'probabl', '(', '30', '%', ')', 'get', 'a', 'covid-19', 'vaccin', 'if', 'it', 'were', 'deem', 'safe', 'by', 'scientist', 'and', 'avail', 'to', 'everyon', 'for', 'free']","['that', '71', '%', 'of', 'respond', 'said', '71', '%', 'of', 'respond', 'would', 'definit', '(', '41', '%', ')', 'or', 'probabl', '(', '30', '%', ')', 'get', 'a', 'covid-19', 'vaccin', 'if', 'a', 'covid-19', 'vaccin', 'were', 'deem', 'safe', 'by', 'scientist', 'and', 'avail', 'to', 'everyon', 'for', 'free']","['that', '71', '%', 'of', 'respond', 'said', 'they', 'would', 'definit', '(', '41', '%', ')', 'or', 'probabl', '(', '30', '%', ')', 'get', 'a', 'covid-19', 'vaccin', 'if', 'it', 'were', 'deem', 'safe', 'by', 'scientist', 'and', 'avail', 'to', 'everyon', 'for', 'free']","['that', '71', '%', 'of', 'respond', 'said', '71', '%', 'of', 'respond', 'would', 'definit', '(', '41', '%', ')', 'or', 'probabl', '(', '30', '%', ')', 'get', 'a', 'covid-19', 'vaccin', 'if', 'a', 'covid-19', 'vaccin', 'were', 'deem', 'safe', 'by', 'scientist', 'and', 'avail', 'to', 'everyon', 'for', 'free']",marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D18AD8170343%7D&siteid=rss&rss=1,more americans now say theyll get a vaccine once its available,36:00.0,marketwatch,anti,cc,FALSE,more americans now say theyll get a vaccine once its available,right,agree,neutral,Agree,neutral
3511,url_no_4454,38,0,NY mandates ALL state workers must get the COVID-19 vaccine or undergo weekly testing.,NY mandates ALL state workers must get the COVID-19 vaccine or undergo weekly testing,"['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']","['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']","['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']","['ny', 'mandat', 'all', 'state', 'worker', 'must', 'get', 'the', 'covid-19', 'vaccin', 'or', 'undergo', 'weekli', 'test']",dailymail.co.uk/news/article-9226829/COVID-cases-cut-HALF-Seven-day-average-nearly-50-peak-January-12.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,covid cases are cut in half sevenday average is down nearly 50 since its peak on january 12,15:25.0,drudgereport,anti,cc,FALSE,covid cases are cut in half sevenday average is down nearly 50 since its peak on january 12,right,neutral,disagree,Agree,neutral
3097,url_no_4159,119,0,Covid vaccines are working to thwart the outbreak within the next fortnight.,that Covid vaccines are working to thwart the outbreak within the next fortnight,"['that', 'covid', 'vaccin', 'are', 'work', 'to', 'thwart', 'the', 'outbreak', 'within', 'the', 'next', 'fortnight']","['that', 'covid', 'vaccin', 'are', 'work', 'to', 'thwart', 'the', 'outbreak', 'within', 'the', 'next', 'fortnight']","['that', 'covid', 'vaccin', 'are', 'work', 'to', 'thwart', 'the', 'outbreak', 'within', 'the', 'next', 'fortnight']","['that', 'covid', 'vaccin', 'are', 'work', 'to', 'thwart', 'the', 'outbreak', 'within', 'the', 'next', 'fortnight']",dailymail.co.uk/news/article-9265325/Coronavirus-UK-Vaccines-minister-Nadhim-Zahawi-hails-really-encouraging-signs-jabs-work.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,coronavirus uk vaccines minister nadhim zahawi hails really encouraging signs that jabs work,47:05.0,drudgereport,anti,cc,FALSE,coronavirus uk vaccines minister nadhim zahawi hails really encouraging signs that jabs work,right,agree,neutral,Agree,neutral
9752,url_no_13113,29,0,"They expect to apply to the FDA for an emergency - use authorization before the end of the month, after they have collected sufficient data on the vaccine's safety.","Covid-19.        Pfizer and its partner, the Germany-based BioNTech expect to apply to the FDA for an emergency - use authorization before the end of the month , after Covid-19.        Pfizer and its partner, the Germany-based BioNTech have collected sufficient data on the vaccine 's safety","['they', 'expect', 'to', 'appli', 'to', 'the', 'fda', 'for', 'an', 'emerg', '-', 'use', 'author', 'befor', 'the', 'end', 'of', 'the', 'month', ',', 'after', 'they', 'have', 'collect', 'suffici', 'data', 'on', 'the', 'vaccin', ""'s"", 'safeti']","['covid-19', '.', 'pfizer', 'and', 'it', 'partner', ',', 'the', 'germany-bas', 'biontech', 'expect', 'to', 'appli', 'to', 'the', 'fda', 'for', 'an', 'emerg', '-', 'use', 'author', 'befor', 'the', 'end', 'of', 'the', 'month', ',', 'after', 'covid-19', '.', 'pfizer', 'and', 'it', 'partner', ',', 'the', 'germany-bas', 'biontech', 'have', 'collect', 'suffici', 'data', 'on', 'the', 'vaccin', ""'s"", 'safeti']","['they', 'expect', 'to', 'appli', 'to', 'the', 'fda', 'for', 'an', 'emerg', '-', 'use', 'author', 'befor', 'the', 'end', 'of', 'the', 'month', ',', 'after', 'they', 'have', 'collect', 'suffici', 'data', 'on', 'the', 'vaccin\', ""\'s"", \'safeti']","['covid-19', '.', 'pfizer', 'and', 'it', 'partner', ',', 'the', 'germany-bas', 'biontech', 'expect', 'to', 'appli', 'to', 'the', 'fda', 'for', 'an', 'emerg', '-', 'use', 'author', 'befor', 'the', 'end', 'of', 'the', 'month', ',', 'after', 'covid-19', '.', 'pfizer', 'and', 'it', 'partner', ',', 'the', 'germany-bas', 'biontech', 'have', 'collect', 'suffici', 'data', 'on', 'the', 'vaccin\', ""\'s"", \'safeti']",politico.com/news/2020/11/09/pfizer-coronavirus-vaccine-effective-435304,pfizer says its coronavirus vaccine is more than 90 percent effective,29:01.0,politico,between,cc,FALSE,pfizer says its coronavirus vaccine is more than 90 percent effective,right,neutral,neutral,Agree,agree
